amount,transaction_type,payment_method,account_age,failed_transactions,is_fraud
12210.49,Money Transfer,Credit Card,517,4,0
87846.17,Bill Payment,Net Banking,2447,8,1
75882.11,Cash Withdrawal,Credit Card,469,10,0
115367.51,Money Transfer,Net Banking,1850,3,1
124130.14,Cash Withdrawal,Net Banking,390,5,1
99799.67,Bill Payment,Debit Card,1943,1,1
12896.12,Cash Withdrawal,Credit Card,1527,2,0
88011.12,Bill Payment,Credit Card,1683,5,0
141175.37,Cash Withdrawal,Credit Card,1179,9,1
15629.72,Money Transfer,Debit Card,1976,3,0
52582.09,Bill Payment,Credit Card,1142,9,1
64423.95,Online Purchase,UPI,119,2,0
114385.19,Bill Payment,UPI,26,2,0
84991.53,Cash Withdrawal,Credit Card,582,10,0
13854.48,Money Transfer,Net Banking,1720,7,0
55570.96,Bill Payment,Credit Card,216,2,1
92713.94,Online Purchase,UPI,1815,10,1
91100.69,Cash Withdrawal,UPI,883,8,1
64544.05,Bill Payment,Net Banking,2159,10,1
33155.71,Online Purchase,Credit Card,838,4,0
115125.69,Bill Payment,UPI,1344,1,1
112077.42,Money Transfer,Debit Card,1558,8,1
75089.33,Bill Payment,Credit Card,1627,0,0
69017.16,Online Purchase,UPI,2359,6,0
106453.89,Cash Withdrawal,UPI,472,6,1
48782.75,Cash Withdrawal,UPI,361,6,0
36573.14,Cash Withdrawal,Credit Card,1622,4,0
33313.65,Money Transfer,Credit Card,2091,10,1
76541.81,Bill Payment,UPI,605,3,1
38469.64,Money Transfer,Debit Card,309,2,0
94229.52,Cash Withdrawal,Net Banking,2313,10,0
93715.81,Bill Payment,Debit Card,1802,1,0
94744.63,Bill Payment,Credit Card,1442,8,1
69315.2,Online Purchase,Credit Card,1511,4,1
129651.08,Online Purchase,Net Banking,1896,9,1
118793.49,Online Purchase,Net Banking,2342,10,1
90790.37,Money Transfer,Credit Card,1846,1,0
125622.84,Online Purchase,Debit Card,161,3,0
148648.8,Money Transfer,UPI,1528,4,1
116192.27,Online Purchase,UPI,270,5,1
101789.06,Bill Payment,UPI,2469,2,1
87452.65,Money Transfer,UPI,1271,10,0
58854.5,Online Purchase,UPI,2290,6,0
49338.64,Money Transfer,Credit Card,1735,8,1
54453.39,Money Transfer,Debit Card,1400,7,1
149996.5,Money Transfer,Credit Card,1212,1,1
81011.64,Online Purchase,UPI,537,9,1
24420.86,Money Transfer,Net Banking,179,6,0
107965.89,Cash Withdrawal,UPI,1839,3,0
46489.24,Cash Withdrawal,Debit Card,1507,10,0
147667.53,Cash Withdrawal,UPI,1565,8,1
144943.6,Money Transfer,Debit Card,1025,0,0
131130.13,Online Purchase,Credit Card,1168,1,0
40991.42,Money Transfer,Net Banking,376,3,0
132706.0,Online Purchase,Net Banking,219,6,1
35443.13,Online Purchase,UPI,920,0,0
14952.56,Bill Payment,Debit Card,564,0,0
124481.26,Money Transfer,Net Banking,1838,9,1
11975.94,Bill Payment,Debit Card,613,8,0
91371.13,Cash Withdrawal,Credit Card,1181,3,0
7257.64,Cash Withdrawal,Net Banking,258,1,0
75024.4,Online Purchase,Debit Card,589,4,1
92259.96,Money Transfer,Net Banking,768,10,0
78570.34,Bill Payment,Credit Card,2155,8,1
148250.89,Online Purchase,Net Banking,1926,0,0
147157.81,Bill Payment,Credit Card,1463,1,1
109967.86,Online Purchase,UPI,547,0,1
50848.23,Money Transfer,Net Banking,1961,10,1
20314.4,Cash Withdrawal,Credit Card,1202,3,1
30000.53,Online Purchase,UPI,1271,8,0
122329.37,Cash Withdrawal,UPI,150,10,1
53610.43,Online Purchase,UPI,1120,1,0
65599.01,Cash Withdrawal,Net Banking,1584,5,0
74480.86,Cash Withdrawal,UPI,2127,4,0
109089.49,Online Purchase,Net Banking,2468,2,0
48249.59,Online Purchase,UPI,1211,4,0
107677.67,Money Transfer,Net Banking,1440,7,1
130518.57,Bill Payment,Net Banking,1125,10,0
142190.87,Online Purchase,Net Banking,1489,8,0
101943.65,Online Purchase,Debit Card,2489,10,0
5316.36,Online Purchase,Debit Card,1501,5,0
85129.97,Money Transfer,Net Banking,1520,5,1
11625.13,Money Transfer,UPI,1631,5,0
37516.79,Online Purchase,Credit Card,763,7,0
137040.02,Online Purchase,UPI,1067,7,1
91820.39,Cash Withdrawal,Debit Card,503,2,0
67861.2,Cash Withdrawal,Credit Card,1310,10,1
9834.37,Bill Payment,UPI,646,10,1
54287.68,Money Transfer,Credit Card,824,2,1
74153.89,Bill Payment,UPI,1915,8,1
132648.54,Online Purchase,UPI,1631,7,1
115397.77,Online Purchase,Debit Card,1299,10,1
69928.4,Bill Payment,Debit Card,2259,10,0
115190.47,Money Transfer,Net Banking,2060,0,0
77763.51,Bill Payment,Debit Card,664,5,0
33898.0,Bill Payment,Credit Card,1027,3,0
82671.13,Money Transfer,UPI,2186,1,0
25378.52,Money Transfer,Debit Card,2479,5,0
84586.34,Online Purchase,Credit Card,187,10,0
39771.92,Money Transfer,Net Banking,125,7,0
81882.06,Bill Payment,Net Banking,1004,10,1
68086.27,Online Purchase,Debit Card,1801,6,0
30683.05,Money Transfer,UPI,1308,5,0
19701.85,Bill Payment,Credit Card,1308,3,0
40194.0,Money Transfer,Debit Card,397,0,0
57684.06,Cash Withdrawal,Debit Card,655,5,0
108197.15,Money Transfer,Debit Card,2041,8,1
131873.44,Cash Withdrawal,Credit Card,369,6,1
145006.33,Money Transfer,UPI,200,0,1
89668.06,Cash Withdrawal,UPI,2199,0,0
64696.07,Bill Payment,UPI,1652,5,1
7768.54,Money Transfer,UPI,2267,4,1
75687.9,Bill Payment,Credit Card,528,1,0
119255.09,Bill Payment,UPI,591,3,0
60267.92,Online Purchase,Credit Card,160,2,0
120614.48,Cash Withdrawal,Debit Card,2484,8,1
139712.17,Bill Payment,Debit Card,1610,9,1
44955.23,Bill Payment,Net Banking,2306,4,0
2593.88,Bill Payment,Credit Card,1707,9,1
134825.19,Online Purchase,Net Banking,1088,10,0
116446.69,Money Transfer,Credit Card,2391,7,1
94390.88,Cash Withdrawal,Debit Card,993,0,0
105108.08,Money Transfer,Credit Card,1807,5,1
62002.72,Money Transfer,Net Banking,2056,9,0
130935.37,Online Purchase,Debit Card,2125,3,0
149718.62,Cash Withdrawal,Net Banking,1286,2,0
80015.75,Bill Payment,UPI,2499,7,1
37053.22,Bill Payment,Debit Card,1220,4,0
103566.96,Cash Withdrawal,UPI,1966,5,1
140179.36,Bill Payment,UPI,500,9,1
57016.16,Cash Withdrawal,UPI,600,4,1
143301.53,Online Purchase,UPI,1812,10,1
71913.98,Money Transfer,UPI,2303,4,1
92389.99,Money Transfer,Debit Card,208,10,0
33928.18,Money Transfer,Credit Card,411,6,1
70913.35,Money Transfer,Credit Card,2255,2,0
140261.31,Cash Withdrawal,Net Banking,817,4,1
96920.1,Online Purchase,Debit Card,2192,0,0
26342.21,Money Transfer,Credit Card,1627,7,1
112375.58,Bill Payment,Credit Card,38,4,1
16184.37,Bill Payment,UPI,1862,10,0
74137.47,Money Transfer,Net Banking,1118,3,0
49669.55,Cash Withdrawal,UPI,763,0,0
118636.07,Money Transfer,Debit Card,1661,6,1
13101.99,Online Purchase,Debit Card,576,7,0
37282.26,Bill Payment,Net Banking,965,7,0
143109.82,Bill Payment,Credit Card,1072,10,1
35521.76,Online Purchase,Net Banking,1257,2,0
75427.82,Bill Payment,Credit Card,1209,5,0
32947.38,Money Transfer,Net Banking,628,7,0
90900.27,Cash Withdrawal,Net Banking,2202,10,0
114302.76,Online Purchase,Net Banking,2164,5,1
84668.89,Online Purchase,Debit Card,2346,8,1
49284.83,Cash Withdrawal,Credit Card,842,9,0
134843.51,Cash Withdrawal,Credit Card,1858,2,0
68574.09,Online Purchase,Net Banking,1263,0,0
122486.34,Money Transfer,Credit Card,186,6,1
9657.61,Online Purchase,Credit Card,1934,0,0
27079.2,Money Transfer,Net Banking,1534,6,0
137575.55,Cash Withdrawal,Net Banking,329,10,0
131195.6,Money Transfer,UPI,486,2,0
59019.49,Money Transfer,Debit Card,15,0,0
69504.28,Cash Withdrawal,Net Banking,941,3,0
23352.69,Money Transfer,Credit Card,132,10,1
114931.41,Online Purchase,Debit Card,845,1,1
5133.08,Online Purchase,Debit Card,182,6,0
81010.0,Online Purchase,Debit Card,2064,4,1
137467.92,Bill Payment,UPI,971,4,0
147855.76,Money Transfer,Net Banking,1231,4,1
142283.19,Money Transfer,Net Banking,2277,7,1
51727.78,Cash Withdrawal,UPI,1706,6,1
56531.38,Cash Withdrawal,Debit Card,924,4,0
21738.33,Cash Withdrawal,Credit Card,2304,6,0
83637.29,Money Transfer,Net Banking,995,4,1
97041.21,Cash Withdrawal,UPI,379,8,0
28653.19,Bill Payment,Net Banking,2478,9,1
11010.37,Money Transfer,Net Banking,856,5,1
136358.22,Money Transfer,Debit Card,481,7,0
104374.38,Money Transfer,Net Banking,981,8,1
42530.57,Cash Withdrawal,UPI,1264,4,0
132433.51,Cash Withdrawal,Credit Card,1924,5,0
55668.67,Cash Withdrawal,Credit Card,2305,3,0
2531.36,Cash Withdrawal,UPI,625,3,0
57037.98,Money Transfer,Net Banking,2256,10,0
50700.89,Cash Withdrawal,Net Banking,1888,2,0
52891.21,Money Transfer,Net Banking,754,8,0
143589.81,Online Purchase,Credit Card,199,0,1
126397.45,Money Transfer,Credit Card,619,0,1
68455.85,Online Purchase,Net Banking,1999,0,1
82791.37,Online Purchase,Credit Card,2169,4,0
43074.61,Cash Withdrawal,Debit Card,439,1,0
36221.23,Bill Payment,UPI,1095,6,1
143898.74,Cash Withdrawal,Debit Card,926,4,0
127195.28,Online Purchase,Credit Card,1661,6,1
71453.16,Online Purchase,Debit Card,339,7,0
96771.6,Bill Payment,Credit Card,2164,0,1
135200.82,Cash Withdrawal,UPI,191,1,0
42127.91,Online Purchase,Debit Card,1289,0,0
88096.71,Cash Withdrawal,Credit Card,1226,2,0
85047.72,Cash Withdrawal,UPI,1573,2,0
103427.65,Online Purchase,UPI,220,1,0
125817.33,Bill Payment,Net Banking,1337,0,0
117553.87,Cash Withdrawal,Net Banking,935,5,1
56376.51,Money Transfer,Net Banking,352,9,1
37042.82,Online Purchase,Credit Card,1098,2,0
117605.15,Money Transfer,Net Banking,1298,5,1
878.76,Bill Payment,Net Banking,1475,4,1
13185.86,Cash Withdrawal,Net Banking,2282,8,0
15583.61,Online Purchase,UPI,2271,1,0
117687.36,Cash Withdrawal,Credit Card,1196,6,1
12796.46,Money Transfer,Debit Card,1560,2,0
45239.58,Cash Withdrawal,Debit Card,260,2,0
63223.24,Cash Withdrawal,Credit Card,1480,4,0
108162.83,Cash Withdrawal,Debit Card,1876,1,1
1114.43,Cash Withdrawal,UPI,1557,5,0
64649.37,Money Transfer,UPI,1314,9,0
30207.64,Bill Payment,Debit Card,1632,5,0
104274.17,Cash Withdrawal,Debit Card,1335,6,1
117901.39,Bill Payment,Credit Card,2310,3,0
81889.8,Online Purchase,Net Banking,859,7,0
124709.14,Online Purchase,Net Banking,2046,2,0
36378.97,Money Transfer,Net Banking,1545,1,0
89730.28,Cash Withdrawal,Net Banking,2227,0,0
53993.47,Online Purchase,Credit Card,1017,10,0
25034.14,Online Purchase,Net Banking,1359,6,1
14881.12,Money Transfer,Debit Card,1826,5,0
115874.1,Money Transfer,UPI,101,7,1
62454.72,Online Purchase,Credit Card,581,5,1
68354.36,Money Transfer,Net Banking,1427,7,1
108326.89,Cash Withdrawal,UPI,276,4,1
106645.77,Online Purchase,UPI,448,10,0
139495.37,Money Transfer,Debit Card,2261,2,1
64012.77,Cash Withdrawal,Debit Card,1660,10,1
96107.78,Cash Withdrawal,Net Banking,120,9,0
67491.29,Cash Withdrawal,Net Banking,19,3,1
112873.59,Online Purchase,Credit Card,2200,2,1
29641.43,Online Purchase,UPI,2005,8,0
47079.28,Cash Withdrawal,Net Banking,2405,1,0
126843.12,Money Transfer,UPI,2418,1,0
47046.54,Money Transfer,UPI,480,2,0
21289.65,Cash Withdrawal,Net Banking,2443,2,0
63513.51,Cash Withdrawal,Debit Card,2273,2,0
21130.45,Bill Payment,Net Banking,220,5,0
72742.88,Money Transfer,Net Banking,2301,8,1
61429.24,Cash Withdrawal,Net Banking,1819,7,1
84853.13,Money Transfer,UPI,134,4,1
43371.68,Cash Withdrawal,Net Banking,2252,8,1
17219.58,Bill Payment,Credit Card,1808,8,1
63830.69,Money Transfer,UPI,133,7,1
129343.72,Online Purchase,Net Banking,481,3,1
110668.19,Bill Payment,Net Banking,680,9,1
31072.29,Money Transfer,Credit Card,2336,5,0
89568.97,Money Transfer,UPI,1199,4,0
142864.36,Online Purchase,Debit Card,1686,0,0
130070.43,Money Transfer,Debit Card,1023,2,0
124289.42,Cash Withdrawal,Net Banking,583,9,1
94209.14,Cash Withdrawal,Net Banking,310,10,0
115355.75,Cash Withdrawal,UPI,1512,7,0
49160.66,Online Purchase,Credit Card,1878,10,0
53797.59,Online Purchase,Net Banking,893,6,0
74257.77,Bill Payment,UPI,1384,8,1
84964.7,Cash Withdrawal,UPI,199,0,1
117605.08,Cash Withdrawal,Credit Card,509,2,1
201.32,Cash Withdrawal,Debit Card,541,10,1
131176.06,Bill Payment,Credit Card,1477,4,1
99709.87,Money Transfer,Credit Card,1624,10,1
104946.26,Money Transfer,Net Banking,374,1,1
71573.33,Money Transfer,Debit Card,2128,10,1
1308.58,Bill Payment,Credit Card,1730,2,0
34419.14,Online Purchase,Credit Card,423,5,0
44958.37,Cash Withdrawal,Debit Card,586,1,0
1370.36,Money Transfer,Net Banking,1439,3,0
22790.98,Cash Withdrawal,Net Banking,890,1,0
21087.97,Online Purchase,Net Banking,1440,6,0
21060.55,Bill Payment,Credit Card,1017,8,0
108204.83,Bill Payment,Credit Card,1236,3,0
76477.43,Cash Withdrawal,UPI,224,3,0
17000.28,Cash Withdrawal,Credit Card,2164,0,0
140095.27,Money Transfer,Net Banking,2329,6,1
102473.01,Cash Withdrawal,Credit Card,69,9,1
39401.57,Online Purchase,Credit Card,1631,8,1
106923.1,Cash Withdrawal,Net Banking,1648,1,0
80694.54,Money Transfer,UPI,343,4,1
138146.64,Money Transfer,UPI,1601,9,1
125195.52,Online Purchase,UPI,1792,3,1
13023.3,Cash Withdrawal,Credit Card,1858,9,0
46462.58,Money Transfer,Credit Card,52,2,0
24658.51,Bill Payment,UPI,684,5,1
117190.48,Bill Payment,Credit Card,121,5,0
40869.89,Online Purchase,UPI,2362,10,1
68334.15,Bill Payment,Credit Card,2047,9,1
23680.77,Online Purchase,Credit Card,936,8,1
128817.48,Online Purchase,Debit Card,189,7,1
138041.96,Money Transfer,Credit Card,2265,10,1
48338.12,Cash Withdrawal,UPI,1112,1,0
17998.2,Online Purchase,Debit Card,915,8,0
143116.5,Online Purchase,Net Banking,1157,4,1
83008.4,Online Purchase,UPI,822,4,0
45656.01,Money Transfer,Net Banking,1509,9,0
149668.29,Money Transfer,Debit Card,617,0,0
3684.15,Bill Payment,Credit Card,1373,0,0
56503.6,Bill Payment,Credit Card,841,8,0
63030.39,Online Purchase,Debit Card,1147,1,1
34797.74,Cash Withdrawal,UPI,1878,1,0
75863.62,Cash Withdrawal,Credit Card,2425,9,1
99400.34,Money Transfer,Debit Card,1195,4,0
138913.69,Cash Withdrawal,UPI,1303,7,1
11295.65,Money Transfer,Debit Card,2395,1,0
24739.81,Cash Withdrawal,UPI,1666,1,0
144698.74,Money Transfer,Net Banking,1263,7,1
18075.04,Money Transfer,UPI,2472,0,0
128500.33,Money Transfer,Credit Card,1017,5,1
7437.7,Bill Payment,UPI,713,0,0
128204.74,Money Transfer,Credit Card,1893,1,0
21054.98,Online Purchase,Credit Card,911,2,0
60147.21,Online Purchase,UPI,308,0,0
29742.78,Cash Withdrawal,Debit Card,377,5,1
141347.87,Online Purchase,Debit Card,2351,6,0
59310.3,Online Purchase,Net Banking,1748,2,0
136254.8,Bill Payment,UPI,1827,2,1
92914.56,Money Transfer,UPI,2044,6,0
71906.74,Online Purchase,UPI,1569,2,0
96433.61,Money Transfer,Credit Card,1567,5,1
117237.12,Bill Payment,UPI,1591,4,1
47899.75,Money Transfer,Credit Card,1151,0,0
70805.49,Bill Payment,Debit Card,654,1,0
36248.8,Online Purchase,Debit Card,2359,6,0
125899.42,Money Transfer,Debit Card,969,9,1
110741.95,Bill Payment,Credit Card,1441,9,1
84510.02,Money Transfer,Net Banking,2221,4,1
5790.76,Online Purchase,Debit Card,2465,3,1
71750.55,Bill Payment,Debit Card,535,5,0
137825.24,Bill Payment,Credit Card,90,2,0
137591.9,Online Purchase,UPI,298,5,0
99354.72,Online Purchase,UPI,1237,5,1
23709.83,Cash Withdrawal,Net Banking,1300,2,0
84340.4,Bill Payment,Debit Card,2413,2,0
110125.85,Bill Payment,Debit Card,728,0,0
142309.85,Cash Withdrawal,Credit Card,746,9,1
121340.16,Money Transfer,Credit Card,2033,2,1
11763.22,Bill Payment,UPI,688,10,0
13400.03,Bill Payment,Net Banking,47,4,1
104007.09,Bill Payment,UPI,443,0,1
65789.2,Cash Withdrawal,Debit Card,1696,7,0
52749.55,Cash Withdrawal,Credit Card,1964,9,0
103105.34,Money Transfer,Net Banking,302,0,1
47875.66,Online Purchase,Credit Card,1401,2,0
24219.58,Online Purchase,Credit Card,1385,9,0
133994.6,Online Purchase,Net Banking,676,9,0
23649.86,Online Purchase,UPI,842,3,0
83161.45,Bill Payment,UPI,1219,3,1
58996.04,Cash Withdrawal,Debit Card,224,5,1
13235.49,Cash Withdrawal,Debit Card,398,0,0
95764.78,Online Purchase,Net Banking,474,4,0
70694.57,Bill Payment,Credit Card,2229,6,1
132835.35,Bill Payment,Debit Card,1826,0,1
69812.19,Money Transfer,UPI,2312,0,1
104501.0,Online Purchase,Credit Card,1409,8,1
113492.89,Money Transfer,Credit Card,1586,8,1
80373.61,Cash Withdrawal,Debit Card,1951,4,1
135426.3,Online Purchase,Debit Card,493,7,1
147656.76,Money Transfer,Debit Card,517,0,1
148243.16,Cash Withdrawal,Debit Card,606,9,1
136629.59,Online Purchase,Credit Card,1590,8,1
48986.41,Bill Payment,Net Banking,51,9,0
117274.68,Online Purchase,Net Banking,613,2,0
87443.3,Online Purchase,Credit Card,2305,1,0
130134.54,Bill Payment,Net Banking,1082,6,0
85846.28,Cash Withdrawal,Credit Card,706,4,1
